District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Waterford School District,Waterford School District,Public School Districts,1520011,15 Rope Ferry Road,Waterford,06385,860-444-5801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"15 Rope Ferry Road
Waterford, CT 06385
(41.342883004, -72.131073033)"
Stamford School District,Rippowam Middle School,Public Schools,1355811,381 High Ridge Rd.,Stamford,06905,203-977-5255,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2001-07-01T00:00:00.000,0,"381 High Ridge Rd.
Stamford, CT 06905
(41.084403005, -73.547738974)"
Darien School District,Ox Ridge Elementary School,Public Schools,0351311,395 Mansfield Ave.,Darien,06820-2113,203-655-2579,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"395 Mansfield Ave.
Darien, CT 06820-2113
(41.10305802, -73.485769971)"
Redding School District,Redding Elementary School,Public Schools,1170111,33 Lonetown Rd.,Redding,06896,203-938-2519,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"33 Lonetown Rd.
Redding, CT 06896
(41.309403, -73.387017992)"
West Hartford School District,King Philip Middle School,Public Schools,1555111,100 King Philip Dr.,West Hartford,06117-1316,860-233-8236,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"100 King Philip Dr.
West Hartford, CT 06117-1316
(41.79402398, -72.741123034)"
Connecticut Technical Education and Career System,Norwich Technical High School,CT Technical Education and Career Schools,9002016,7 Mahan Drive,Norwich,06360-7044,860-889-8453,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"7 Mahan Drive
Norwich, CT 06360-7044
(41.549766018, -72.078312976)"
Hampton School District,Hampton Elementary School,Public Schools,0630111,380 Main St.,Hampton,06247-1416,860-455-9409,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"380 Main St.
Hampton, CT 06247-1416
(41.792394999, -72.05928899)"
New Haven School District,John S. Martinez Sea and Sky STEM School,Public Schools,0930811,100 James St.,New Haven,06513,475-220-2000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2004-07-01T00:00:00.000,0,"100 James St.
New Haven, CT 06513
(41.305192016, -72.90342501)"
Bridgeport School District,Warren Harding High School,Public Schools,0156311,379 Bond St,Bridgeport,06610-2763,203-275-2751,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"379 Bond St
Bridgeport, CT 06610-2763
(41.197708985, -73.169344996)"
Danbury School District,Westside Middle School Academy,Public Schools,0340311,1 School Ridge Road,Danbury,06811,203-797-4713,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2014-08-25T00:00:00.000,,"1 School Ridge Road
Danbury, CT 06811
(41.387749758, -73.48052381)"
Plainfield School District,Moosup Elementary School,Public Schools,1090111,35 Church St.,Moosup,06354-1207,860-564-6430,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"35 Church St.
Moosup, CT 06354-1207
(41.71651099, -71.880522022)"
Southington School District,Flanders Elementary School,Public Schools,1311311,100 Victoria Dr.,Southington,06489-2741,860-628-3372,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"100 Victoria Dr.
Southington, CT 06489-2741
(41.615536004, -72.849832965)"
Wethersfield School District,Charles Wright School,Public Schools,1591011,186 Nott St.,Wethersfield,06109-1720,860-571-8350,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"186 Nott St.
Wethersfield, CT 06109-1720
(41.717173998, -72.668573974)"
Norfolk School District,Norfolk School District,Public School Districts,0980011,128 Greenwoods Rd East,Norfolk,06058,860-542-5553,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"128 Greenwoods Rd East
Norfolk, CT 06058
(41.987428014, -73.188145018)"
Department of Mental Health and Addiction Services,Greater Bridgeport Community Mental Health Center,State Agency Facilities,3370515,1635 Central Ave.,Bridgeport,06610,860-262-7175,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-07-01T00:00:00.000,0,"1635 Central Ave.
Bridgeport, CT 06610
(41.189431982, -73.168042029)"
Derby School District,Little Raiders University,Public Schools,0370111,75 Chatfield Street,Derby,06418,203-446-4224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-26T00:00:00.000,,"75 Chatfield Street
Derby, CT 06418
(41.336654161, -73.097847066)"
Judicial Centers,REGIONS secure Hamden,State Agency Facilities,3482315,995 Sherman Avenue,Hamden,06514,860-566-2030,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2020-11-23T00:00:00.000,,"995 Sherman Avenue
Hamden, CT 06514
(41.398929018, -72.920264002)"
Waterbury School District,B. W. Tinker School,Public Schools,1512111,809 Highland Ave.,Waterbury,06708-4601,203-574-8186,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"809 Highland Ave.
Waterbury, CT 06708-4601
(41.535977419, -73.051729758)"
Lebanon School District,Lebanon Elementary School,Public Schools,0710111,479 Exeter Rd.,Lebanon,06249-1505,860-642-7593,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"479 Exeter Rd.
Lebanon, CT 06249-1505
(41.640097998, -72.204958001)"
Danbury School District,Western CT Academy of International Studies Elementary Magnet School,Public Schools,0341911,201 University Blvd.,Danbury,06810,203-778-7462,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2006-07-01T00:00:00.000,1,"201 University Blvd.
Danbury, CT 06810
(41.403832013, -73.492927027)"
Suffield School District,A. Ward Spaulding School,Public Schools,1390411,945 Mountain Rd.,Suffield,06078-2014,860-668-3826,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"945 Mountain Rd.
Suffield, CT 06078-2014
(41.984289997, -72.687542975)"
Canton School District,Canton School District,Public School Districts,0230011,4 Market Street,Collinsville,06022,860-693-7704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"4 Market Street
Collinsville, CT 06022
(41.81085501, -72.922613031)"
Plainville School District,Middle School of Plainville,Public Schools,1105211,150 Northwest Dr.,Plainville,06062-1532,860-793-3250,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1992-07-01T00:00:00.000,0,"150 Northwest Dr.
Plainville, CT 06062-1532
(41.683978015, -72.886161978)"
East Hartford School District,East Hartford High School,Public Schools,0436211,869 Forbes St.,East Hartford,06118-1921,860-622-5200,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"869 Forbes St.
East Hartford, CT 06118-1921
(41.755065984, -72.605529992)"
Fairfield School District,Roger Ludlowe Middle School,Public Schools,0515311,689 Unquowa Rd.,Fairfield,06824,203-255-8345,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1998-07-01T00:00:00.000,0,"689 Unquowa Rd.
Fairfield, CT 06824
(41.147730002, -73.260513029)"
Stafford School District,Stafford Middle School,Public Schools,1345211,21 Levinthal Run,Stafford Springs,06076-3719,860-684-2785,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1992-07-01T00:00:00.000,0,"21 Levinthal Run
Stafford Springs, CT 06076-3719
(41.965518013, -72.303543013)"
Capitol Region Education Council,Academy of Science and Innovation,Regional Education Service Center Schools,2416514,600 Slater Road,New Britain,06053,860-223-0726,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2010-08-30T00:00:00.000,1,"600 Slater Road
New Britain, CT 06053
(41.684388016, -72.811314013)"
Windsor Locks School District,North Street School,Public Schools,1650111,325 North St.,Windsor Locks,06096-1243,860-292-5027,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"325 North St.
Windsor Locks, CT 06096-1243
(41.937078006, -72.648661003)"
Litchfield School District,Litchfield Intermediate School,Public Schools,0740311,35 Plumb Hill Road,Litchfield,06759,860-567-7520,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"35 Plumb Hill Road
Litchfield, CT 06759
(41.740157009, -73.205820021)"
Bridgeport School District,A.B. Skane Center,Public Schools,0154411,2977 North Madison Ave.,Bridgeport,06606-2060,203-576-7181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995-07-01T00:00:00.000,0,"2977 North Madison Ave.
Bridgeport, CT 06606-2060
(41.213332015, -73.22744399)"
Regional School District 09,Joel Barlow High School,Regional Schools,2096112,100 Black Rock Tpke.,Redding,06896-3099,203-938-2508,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"100 Black Rock Tpke.
Redding, CT 06896-3099
(41.299354984, -73.339479022)"
Shelton School District,Elizabeth Shelton School,Public Schools,1260511,138 Willoughby Rd.,Shelton,06484-5951,203-929-1330,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"138 Willoughby Rd.
Shelton, CT 06484-5951
(41.316341107, -73.133410996)"
Hartford School District,"Breakthrough Magnet School, South",Public Schools,0643311,290 Brookfield Street,Hartford,06106,860-695-5700,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,1,"290 Brookfield Street
Hartford, CT 06106
(41.745252997, -72.70667601)"
Wilton School District,Middlebrook School,Public Schools,1615211,131 School Rd.,Wilton,06897-2507,203-762-8388,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"131 School Rd.
Wilton, CT 06897-2507
(41.20231867, -73.432480692)"
Windham School District,Natchaug School,Public Schools,1630111,123 Jackson St.,Willimantic,06226,860-465-2380,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"123 Jackson St.
Willimantic, CT 06226
(41.713753008, -72.206577972)"
East Lyme School District,East Lyme School District,Public School Districts,0450011,165 Boston Post Road,East Lyme,06333,860-739-3966,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"165 Boston Post Road
East Lyme, CT 06333
(41.366152206, -72.215205712)"
Hartford School District,McDonough Middle School,Public Schools,0641211,111 Hillside Avenue,Hartford,06106-3545,860-695-4260,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"111 Hillside Avenue
Hartford, CT 06106-3545
(41.749758018, -72.698337023)"
Meriden School District,Thomas Hooker School,Public Schools,0801011,70 Overlook Rd.,Meriden,06450-6933,203-237-8839,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"70 Overlook Rd.
Meriden, CT 06450-6933
(41.517418996, -72.779201014)"
Bridgeport School District,Interdistrict Discovery Magnet School,Public Schools,0153711,4510 Park Avenue,Bridgeport,06606,203-275-1801,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2010-08-26T00:00:00.000,1,"4510 Park Avenue
Bridgeport, CT 06606
(41.215008028, -73.234041228)"
New Haven School District,James Hillhouse High School,Public Schools,0936211,480 Sherman Parkway,New Haven,06511,475-220-7500,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"480 Sherman Parkway
New Haven, CT 06511
(41.322029627, -72.938686235)"
Ashford School District,Ashford School District,Public School Districts,0030011,440 Westford Rd.,Ashford,06278,860-429-1927,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"440 Westford Rd.
Ashford, CT 06278
(41.892517, -72.169207005)"
The Bridge Academy District,The Bridge Academy District,Public Charter School Districts,2690013,160 Pulaski Street,Bridgeport,06608,203-336-9999,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1997-07-01T00:00:00.000,0,"160 Pulaski Street
Bridgeport, CT 06608
(41.1840265, -73.184432773)"
Ellington School District,Crystal Lake School,Public Schools,0480211,59 South Road,Ellington,06029-3020,860-896-2322,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"59 South Road
Ellington, CT 06029-3020
(41.929844004, -72.378299028)"
Shelton School District,Sunnyside School,Public Schools,1260611,418 River Rd.,Shelton,06484-4524,203-922-3021,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1990-07-01T00:00:00.000,0,"418 River Rd.
Shelton, CT 06484-4524
(41.291163015, -73.074054994)"
Griswold School District,Griswold Soule Street Academy,Public Schools,0580111,22 Soule Street,Jewett City,06351,860-376-9129,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2014-08-27T00:00:00.000,,"22 Soule Street
Jewett City, CT 06351
(41.605851008, -71.984086974)"
New Britain School District,Jefferson Elementary School,Public Schools,0890711,140 Horse Plain Rd.,New Britain,06053-1678,860-223-8007,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"140 Horse Plain Rd.
New Britain, CT 06053-1678
(41.695795996, -72.799859975)"
Wallingford School District,Rock Hill School,Public Schools,1480411,910 Old Rock Hill Road,Wallingford,06492-2528,203-294-6260,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"910 Old Rock Hill Road
Wallingford, CT 06492-2528
(41.455038987, -72.78900298)"
Bolton School District,Bolton School District,Public School Districts,0120011,72 Brandy Street,Bolton,06043,860-643-1569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"72 Brandy Street
Bolton, CT 06043
(41.760925018, -72.418223961)"
Norwich School District,John B. Stanton School,Public Schools,1041411,386 New London Tpke.,Norwich,06360-5337,860-823-4207,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"386 New London Tpke.
Norwich, CT 06360-5337
(41.522120992, -72.101095995)"
Regional School District 07,Northwestern Regional High School,Regional Schools,2076112,100 Battistoni Dr.,Winsted,06098-1899,860-379-8525,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"100 Battistoni Dr.
Winsted, CT 06098-1899
(41.914618989, -73.047962968)"
Manchester School District,Waddell School,Public Schools,0771311,163 Broad Street,Manchester,06042,860-647-3392,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"163 Broad Street
Manchester, CT 06042
(41.784098005, -72.534525968)"
Bristol School District,Northeast Middle School,Public Schools,0175211,530 Stevens St.,Bristol,06010-2587,860-584-7839,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"530 Stevens St.
Bristol, CT 06010-2587
(41.714972738, -72.908972207)"
North Haven School District,Green Acres Elementary School,Public Schools,1010711,146 Upper State St.,North Haven,06473-1280,203-239-5387,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"146 Upper State St.
North Haven, CT 06473-1280
(41.405926985, -72.864137019)"
Greenwich School District,Julian Curtiss School,Public Schools,0570311,180 East Elm St.,Greenwich,06830-5755,203-869-1896,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"180 East Elm St.
Greenwich, CT 06830-5755
(41.03230998, -73.619660984)"
Area Cooperative Educational Services,Area Cooperative Educational Services,Regional Education Service Center School Districts,2440014,350 State Street,North Haven,06473,203-498-6817,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"350 State Street
North Haven, CT 06473
(41.369320993, -72.887128998)"
Fairfield School District,Osborn Hill School,Public Schools,0511811,760 Stillson Rd.,Fairfield,06824,203-255-8340,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"760 Stillson Rd.
Fairfield, CT 06824
(41.177020018, -73.25738398)"
East Hartford School District,East Hartford School District,Public School Districts,0430011,1110 Main Street,East Hartford,06108,860-622-5100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1110 Main Street
East Hartford, CT 06108
(41.772893999, -72.641050989)"
Newtown School District,Middle Gate Elementary School,Public Schools,0970311,7 Cold Spring Rd.,Newtown,06470-2600,203-426-7662,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"7 Cold Spring Rd.
Newtown, CT 06470-2600
(41.366521018, -73.273967995)"
Trumbull School District,Trumbull High School,Public Schools,1446111,72 Strobel Rd.,Trumbull,06611-5510,203-452-4555,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"72 Strobel Rd.
Trumbull, CT 06611-5510
(41.263763998, -73.192741989)"
Capital Preparatory Harbor School District,Capital Preparatory Harbor School,Public Charter Schools,2970113,777 Main Street,Bridgeport,06604,475-422-5900,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-08-24T00:00:00.000,,"777 Main Street
Bridgeport, CT 06604
(41.175150015, -73.188496974)"
Waterbury School District,Bucks Hill School,Public Schools,1510511,330 Bucks Hill Rd.,Waterbury,06704-1222,203-574-8182,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"330 Bucks Hill Rd.
Waterbury, CT 06704-1222
(41.600647984, -73.028917021)"
Milford School District,J. F. Kennedy School,Public Schools,0841911,404 West Ave.,Milford,06460-3091,203-783-3568,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"404 West Ave.
Milford, CT 06460-3091
(41.216468984, -73.089017027)"
Stonington School District,Deans Mill School,Public Schools,1370511,35 Deans Mill Rd.,Stonington,06378-2104,860-535-2235,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"35 Deans Mill Rd.
Stonington, CT 06378-2104
(41.361250017, -71.924973015)"
Hartford School District,Sport and Medical Sciences Academy,Public Schools,0646511,280 Huyshope Avenue,Hartford,06106,860-695-6900,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,1,"280 Huyshope Avenue
Hartford, CT 06106
(41.752663018, -72.660365995)"
Montville School District,Montville High School,Public Schools,0866111,800 Old Colchester Rd.,Oakdale,06370,860-848-9208,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"800 Old Colchester Rd.
Oakdale, CT 06370
(41.461319461, -72.164935341)"
Regional School District 16,Regional School District 16,Regional School Districts,2160012,30 Coer Road,Prospect,06712,203-758-6671,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"30 Coer Road
Prospect, CT 06712
(41.498317016, -72.975855969)"
Norwalk School District,P-TECH Norwalk,Public Schools,1030911,23 Calvin Murphy Drive,Norwalk,06851,203-838-4481,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2019-07-01T00:00:00.000,,"23 Calvin Murphy Drive
Norwalk, CT 06851
(41.12284236, -73.388099773)"
Southington School District,Southington School District,Public School Districts,1310011,200 North Main Street,Southington,06489,860-628-3202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"200 North Main Street
Southington, CT 06489
(41.606328092, -72.878109499)"
Hamden School District,Bear Path School,Public Schools,0621211,10 Kirk Rd.,Hamden,06514-1308,203-407-2015,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"10 Kirk Rd.
Hamden, CT 06514-1308
(41.389490995, -72.92737303)"
Trumbull School District,Daniels Farm School,Public Schools,1440811,710 Daniels Farm Rd.,Trumbull,06611-5539,203-452-4388,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"710 Daniels Farm Rd.
Trumbull, CT 06611-5539
(41.269478989, -73.198392984)"
Hartford School District,Rawson School,Public Schools,0641711,260 Holcomb Street,Hartford,06112-1436,860-695-4840,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"260 Holcomb Street
Hartford, CT 06112-1436
(41.796164006, -72.700837009)"
New Haven School District,Brennan Rogers School,Public Schools,0932111,200 Wilmot Rd.,New Haven,06515,475-220-2200,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2010-07-01T00:00:00.000,0,"200 Wilmot Rd.
New Haven, CT 06515
(41.344016991, -72.958778009)"
New Haven School District,New Haven School District,Public School Districts,0930011,54 Meadow Street,New Haven,06519,475-220-1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"54 Meadow Street
New Haven, CT 06519
(41.299879021, -72.926287992)"
Stratford School District,Chapel School,Public Schools,1380311,380 Chapel Street,Stratford,06614-1690,203-385-4192,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"380 Chapel Street
Stratford, CT 06614-1690
(41.238306243, -73.11777236)"
Brookfield School District,Whisconier Middle School,Public Schools,0185311,17 West Whisconier Rd.,Brookfield,06804,203-775-7710,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"17 West Whisconier Rd.
Brookfield, CT 06804
(41.441523145, -73.377589342)"
North Branford School District,North Branford Intermediate School,Public Schools,0995111,654 Foxon Rd.,North Branford,06471-1108,203-484-1500,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"654 Foxon Rd.
North Branford, CT 06471-1108
(41.335327011, -72.800342018)"
Groton School District,Groton Middle School,Public Schools,0591111,35 Groton Long Point Road,Groton,06340,860-446-4200,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2020-07-01T00:00:00.000,,"35 Groton Long Point Road
Groton, CT 06340
(41.343976004, -72.011754965)"
New Milford School District,Schaghticoke Middle School,Public Schools,0965211,23 Hipp Rd.,New Milford,06776-2223,860-354-2204,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"23 Hipp Rd.
New Milford, CT 06776-2223
(41.620289004, -73.392329017)"
Colebrook School District,Colebrook Consolidated School,Public Schools,0290111,452 Smith Hill Road,Colebrook,06021,860-379-2179,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"452 Smith Hill Road
Colebrook, CT 06021
(41.987965001, -73.092297033)"
Stamford School District,Hart School,Public Schools,1352211,61 Adams Ave.,Stamford,06902,203-977-5082,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1992-07-01T00:00:00.000,0,"61 Adams Ave.
Stamford, CT 06902
(41.057680995, -73.547389029)"
East Hartford School District,Silver Lane School,Public Schools,0431211,15 Mercer Ave.,East Hartford,06118-1517,860-622-5500,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"15 Mercer Ave.
East Hartford, CT 06118-1517
(41.76048698, -72.63503404)"
Elm City College Preparatory School District,Elm City College Preparatory School District,Public Charter School Districts,2890013,370 James Street,New Haven,06513,203-498-0702,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2009-07-01T00:00:00.000,0,"370 James Street
New Haven, CT 06513
(41.313263998, -72.904276025)"
Scotland School District,Scotland School District,Public School Districts,1230011,68 Brook Road,Scotland,06264,860-423-0064,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"68 Brook Road
Scotland, CT 06264
(41.764351205, -72.095143556)"
North Stonington School District,North Stonington Elementary School,Public Schools,1020111,311 Norwich/Westerly Rd.,North Stonington,06359-0901,860-535-2805,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"311 Norwich/Westerly Rd.
North Stonington, CT 06359-0901
(41.437993004, -71.887991974)"
Bristol School District,Stafford School,Public Schools,0171211,212 Louisiana Ave.,Bristol,06010-4456,860-584-7824,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1998-07-01T00:00:00.000,0,"212 Louisiana Ave.
Bristol, CT 06010-4456
(41.68921165, -72.91757225)"
Monroe School District,Monroe School District,Public School Districts,0850011,375 Monroe Turnpike,Monroe,06468,203-452-2860,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"375 Monroe Turnpike
Monroe, CT 06468
(41.309257993, -73.222592041)"
Torrington School District,Forbes School,Public Schools,1430211,500 Migeon Ave.,Torrington,06790,860-489-2500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1986-07-01T00:00:00.000,0,"500 Migeon Ave.
Torrington, CT 06790
(41.812987994, -73.132458)"
Putnam School District,Putnam Elementary School,Public Schools,1160311,33 Wicker St.,Putnam,06260-1444,860-963-6925,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"33 Wicker St.
Putnam, CT 06260-1444
(41.924290993, -71.922146972)"
New Canaan School District,New Canaan School District,Public School Districts,0900011,39 Locust Avenue,New Canaan,06840,203-594-4018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"39 Locust Avenue
New Canaan, CT 06840
(41.148895003, -73.491730007)"
Bridgeport School District,Park City Magnet School,Public Schools,0151711,1526 Chopsey Hill Rd.,Bridgeport,06606-2422,203-576-7547,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"1526 Chopsey Hill Rd.
Bridgeport, CT 06606-2422
(41.221112013, -73.200038016)"
East Windsor School District,Broad Brook Elementary School,Public Schools,0470111,14 Rye St.,East Windsor,06016-9552,860-623-2433,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"14 Rye St.
East Windsor, CT 06016-9552
(41.910920014, -72.546426008)"
Enfield School District,Hazardville Memorial School,Public Schools,0490411,68 North Maple St.,Enfield,06082-3904,860-763-7500,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"68 North Maple St.
Enfield, CT 06082-3904
(41.993217981, -72.539182032)"
Regional School District 04,John Winthrop Middle School,Regional Schools,2045112,1 Winthrop Road,Deep River,06417,860-526-9546,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"1 Winthrop Road
Deep River, CT 06417
(41.363604996, -72.456837964)"
Waterbury School District,Margaret M. Generali Elementary School,Public Schools,1511111,3196 East Main St.,Waterbury,06705-3430,203-574-8174,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"3196 East Main St.
Waterbury, CT 06705-3430
(41.545627998, -72.982053968)"
Explorations District,Explorations,Public Charter Schools,2726113,71 Spencer St.,Winsted,06098,860-738-9070,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1997-07-01T00:00:00.000,0,"71 Spencer St.
Winsted, CT 06098
(41.92940102, -73.076216016)"
Weston School District,Weston Intermediate School,Public Schools,1570211,95 School Rd.,Weston,06883,203-221-6330,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2005-07-01T00:00:00.000,0,"95 School Rd.
Weston, CT 06883
(41.207642002, -73.378423021)"
Norwalk School District,Concord Magnet School,Public Schools,1030311,21 Hunters Lane,Norwalk,06850-2499,203-899-2840,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"21 Hunters Lane
Norwalk, CT 06850-2499
(41.122770275, -73.443961155)"
Waterbury School District,Wilby High School,Public Schools,1516311,568 Bucks Hill Rd.,Waterbury,06704-1296,203-574-8100,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"568 Bucks Hill Rd.
Waterbury, CT 06704-1296
(41.606345825, -73.02981671)"
